Name,Type,Contact ,E-mail ,Contact Via Website,Website ,Contact via Twitter,
Chromatic Capital ,Asset Management Firm,/,info@chromatic.capital,https://www.chromatic.capital/,https://www.chromatic.capital/,/,
CloudFire Capital ,Asset Management Firm,/,invest@cloudfirecapital.com,https://cloudfirecapital.com/contact.html,https://cloudfirecapital.com/,/,
CMS ,Principal Investment Firm ,/,info@cmsholdings.io,http://cmsholdings.io/,http://cmsholdings.io/,https://twitter.com/cmsholdings,
Coin Capital,Crypto Hedgefund,/,/,https://www.coincapital.com/contact?,https://www.coincapital.com/,,
Crypto Capital Investments ,Investment Fund,/,/,https://cryptollc.capital/contact,https://cryptollc.capital/,/,
Delphi Digital ,Investment Fund,Rumors of being blown up after UST meltdown ,,https://delphidigital.io/contact-us,https://delphidigital.io/,https://twitter.com/Delphi_Digital,
Digital Capital Mangement ,Crypto Hedgefund,(858)-251-4851,investor.relations@digital-capital-management.com,https://www.digital-capital-management.com/contact/,https://www.digital-capital-management.com/,https://twitter.com/DigiAssetFund,
Digital Currency Group (DCG),Crypto Hedgefund,/,info@dcg.co,https://dcg.co/contact/,https://dcg.co/,https://twitter.com/DCGco,
Distributed Global ,Crypto Hedgefund & VC ,/,info@distributedglobal.com,https://distributedglobal.com/,https://distributedglobal.com/,/,
DragonFly ,Crypto Hedgefund,Haseeb Qureshi,(704) 488-7712,http://www.dragonflycapital.com/contact-us.cfm,https://www.dcp.capital/,"https://twitter.com/hosseeb ,  https://twitter.com/dragonfly_cap", 
eGirl Capital ,Nobody actually knows ,CL ,contact@egirlcapital.com,https://www.egirlcapital.com/,https://www.egirlcapital.com/,"https://twitter.com/CL207 , https://twitter.com/egirl_capital", 
Exigent Capital ,Crypto Hedgefund,(646)506-9450,info@exigentcap.com,https://exigent.capital/#contact,https://exigent.capital/,/,
Galaxy Digital ,Crypto Hedgefund,/,/,https://www.galaxydigital.io/contact/,https://www.galaxydigital.io/,https://twitter.com/GalaxyDigitalHQ,
Galois Capital ,Quant. Hedgefund & MM,Kevin Zhou (Ceo),/,https://galois.capital/contact,https://galois.capital/,https://twitter.com/Galois_Capital,
Genesis Trading,Quant. Hedgefund & MM,/,support@genesistrading.com,https://genesistrading.com/contact/,https://genesistrading.com/,https://twitter.com/GenesisTrading,
Genesis Block Capital ,Investment Management Fund,/,/,https://www.genesisblockcapital.com/contact-us,https://www.genesisblockcapital.com/,,
Gordian Block Capital ,Investment Management Fund,/,/,https://gordianblock.io/contact/,https://gordianblock.io/,https://twitter.com/GordianBlock,
Grasshopper Capital ,Prop. Firm,65 6551 5700,info@grasshopperasia.com,https://grasshopperasia.com/contact/,https://grasshopperasia.com/,/,
Grayscale,Asset Management Firm,/,/,https://grayscale.com/,https://grayscale.com/contact/,https://twitter.com/Grayscale,
mgnr,Quant. Prop. Firm,/,contact@mgnr.io,https://mgnr.io/,https://mgnr.io/,https://twitter.com/mgnr_io,
Multicoin Capital,Crypto Hedgefund,/,hello@multicoin.capital,https://multicoin.capital/contact/,https://multicoin.capital/,https://twitter.com/multicoincap,
Iterative Capital Management ,Crypto Hedgefund,/,partners@iterativeinstinct.com,https://iterative.capital/,https://iterative.capital/,https://twitter.com/IterativeCap,
Jane St.,Quant. Hedgefund & MM,(646) 759 6000,investor-relations@janestreet.com,https://www.janestreet.com/investor-relations/,https://www.janestreet.com/,https://twitter.com/JaneStreetGroup,
Jefferson Capital ,Crypto Hedgefund,/,/,https://www.jeffersoncapital.io/#contacts,https://www.jeffersoncapital.io/,https://twitter.com/Jefferson_Cap,
Jump,Quant. Hedgefund & MM,"Kanav Kariya, @KanavKariya on twitter",contact@jumpcrypto.com,https://jumpcrypto.com/contact/,https://jumpcrypto.com/,https://twitter.com/jump_,
LDGR Capital Management ,Crypto Hedgefund,",/",info@ldgr.capital,https://ldgr.capital/contact-us/,https://ldgr.capital/,/,
LDJ Capital INC,Investment Manager & Fund,(212) 845 9652,info@ldjcapital.com,https://ldjcapital.com/contact-us,https://ldjcapital.com/,/,
Ledgerprime ,Quant. Investment Fund,/,info@ledgerprime.com,https://www.ledgerprime.com/,https://www.ledgerprime.com/,/,
Manifold Trading,Quant. Hedge Fund,/,contact@manifoldtrading.com,https://www.manifoldtrading.com/,https://www.manifoldtrading.com/,https://mobile.twitter.com/manifoldtrading,
Mc Capital Ventures ,Venture Capital,/,only via twitter,http://mccapitalventures.com/,http://mccapitalventures.com/,https://twitter.com/mccventures,
Mechanism Capital ,Venture Capital,Andrew Kang,only via twitter https://mobile.twitter.com/MechanismCap,https://www.mechanism.capital/,https://www.mechanism.capital/,https://mobile.twitter.com/MechanismCap,
Metastable Capital ,Crypto Hedgefund,/,info@metastablecapital.com,https://metastablecapital.com/contact-us/index.html,https://metastablecapital.com/,/,
Neural Capital LLC ,Quant. Fund (Trend Strategy) ,Patrick de Villiers,info@neuralcapital.com,https://www.neuralcapital.com/contact/,https://www.neuralcapital.com/,/,
Newblock Capital ,Crypto Hedgefund,/,team@newblock.capital,http://newblock.capital/,http://newblock.capital/,/,
Odin88 ,Asset Management Firm,/,investor@odin88.com,https://odin88.com/,https://odin88.com/,/,
Off The Chain Capital,Crypto Fund Manager,/,/,https://offthechain.capital/contact/,https://offthechain.capital/,https://twitter.com/OffTheChainCap,
Oslodotcom,Digital Asset Platform,/,/,https://bc.group/contact-us/,https://osl.com/en/,"https://twitter.com/redxbt , https://twitter.com/osldotcom", 
Parallax Digital ,Crypto Hedgefund,/,/,https://www.parallaxdigital.io/contactus,https://www.parallaxdigital.io/,https://twitter.com/ParallaxDigital,
Pantera Capital,Crypto Hedgefund,(650) 854 7000,"ir@panteracapital.com , invest@panteracapital.com , pitch@panteracapital.com",https://panteracapital.com/contact/,https://panteracapital.com/contact/,https://twitter.com/PanteraCapital,
Polychain ,Crypto Hedgefund,/,info@polychain.capital,https://polychain.capital/,https://polychain.capital/,/,
Polynexus Capital,Crypto Hedgefund,/,/,https://www.polynexus.capital/#contact,https://www.polynexus.capital/,/,
QCP Capital,Crypto Hedgefund,/,/,https://qcp.capital/ bottom of page,https://qcp.capital/,https://twitter.com/qcpcapital,
Red Leaf ,Asset Management Firm,/,info@redleafadvisors.com,http://theredleafgroup.com/,http://theredleafgroup.com/,/,
Reality Shares inc,Asset Management Firm,(855) 595-0240,/,https://www.realitysharesadvisors.com/about-us/contact-us/,https://www.realitysharesadvisors.com/,https://twitter.com/RealityShares,
RF Capital ,Crypto Hedgefund,/,IR@rfcapital.io,https://rfcapital.io/contact/,https://rfcapital.io/,https://twitter.com/RFCapitalFund,
ROK Capital ,Crypto Hedgefund,/,contact@rokcapital.io,https://www.rokcapital.io/,https://www.rokcapital.io/,https://twitter.com/ROKCapital,
Satoshi Capital Advisors ,Crypto Hedgefund,/,/,https://www.satoshi.capital/contact,https://www.satoshi.capital/,/,
Scalar Capital ,Crypto Hedgefund,/,info@scalar.capital,https://scalar.capital/,https://scalar.capital/,https://twitter.com/scalarcapital,
Selini Capital ,FT MM prop firm,/,/,https://www.selinicapital.com/contact,https://www.selinicapital.com/,https://twitter.com/gametheorizing he's their CIO probably great idea to reach out, 
Serrada Capital LLC (might be inactive),Crypto Hedgefund,/,/,https://serradacapital.com/,https://serradacapital.com/,https://twitter.com/serradacapital,
Silver 8 Capital (mgiht be closed),Crypto Hedgefund,/,/,https://www.silver8capital.com/contact,https://www.silver8capital.com/,https://twitter.com/silver8capital,
StableNode ,Crypto Hedgefund,"Gustav Arentoft , https://twitter.com/GArentoft",Info@stablenode.xyz,https://www.stablenode.xyz/,https://www.stablenode.xyz/,https://twitter.com/StableNode,
Systematic Alpha Management ,Crypto Hedgefund,(646) 701-1029,info@systematicalpha.com,http://systematicalpha.com/contacts,http://systematicalpha.com/#,/,
Taureon Capital ,Investment Manager & Fund,/,contact@taureon.io,https://www.taureon.io/,https://www.taureon.io/,/,
Tetras Capital ,Crypto Hedgefund,/,info@tetras.capital,http://tetras.capital/,http://tetras.capital/,/,
Tradecraft Capital ,Crypto Hedgefund,(855) 587-8337,info@tradecraft.capital,https://www.tradecraft.capital/contact/,https://www.tradecraft.capital/,"https://twitter.com/TradecraftJake (CIO) , https://twitter.com/TRADECRAFTc", 
Typhon Capital,Crypto Hedgefund,(312) 836 1180,info@typhoncap.com,https://typhoncap.com/contact-us/,https://typhoncap.com/,/,
Vellum Capital LLC ,Asset Management Firm,(844) 483 5586,info@vellum.capital,https://vellum.capital/contact-us/,https://vellum.capital/,https://twitter.com/VellumCapital?s=17,
Virgil Capital (apparently committed fraud in 2020 lmao: https://twitter.com/TheSkyhopper/status/1342000236802150401),Investment Firm / VC ,/,ltaylor@virgilcapital.com,https://www.virgilcapital.com/,https://www.virgilcapital.com/,/,
Walden Bridge Capital ,Crypto Hedgefund,https://www.linkedin.com/company/waldenbridgecapital/about/,/,https://waldenbridge.capital/contact.html,https://waldenbridge.capital/,/,
Wave Finanical ,Crypto Hedgefund,IR@wavegp.com,info@wavegp.com,https://wavegp.com/contact/,https://wavegp.com/,https://twitter.com/wave_financial,
Wintermute ,Quant. Fund & MM ,"evgenygaevoy (CEO) https://twitter.com/evgenygaevoy, emugurevich (COO) https://twitter.com/emgurevich ",marketmaking@wintermute.com,https://www.wintermute.com/about/ at bottom,https://www.wintermute.com/,https://twitter.com/wintermute_t,
XRAM Capital ,Crypto Hedgefund,/,/,https://xram.capital/contact,https://xram.capital/,/,
Zero-One-Capital ,Crypto Hedgefund,/,ir@zer-one.capital,https://zero-one.capital/,https://zero-one.capital/,/,
GT Capital,Crypto Fund Manager,/,contact@gtcapital.io,/,/,https://twitter.com/gtcapital_,
Tioga Capital,Venture Capital (Europe) ,Patrick Van de Mosselaer (has a LinkedIn),,https://tioga.capital/contact/,https://tioga.capital/,https://twitter.com/TiogaCapital,
LongHash Ventures,Venture Capital,Emma Cui,admin.sg@longhash.com,https://longhash.vc/about-us/,https://longhash.vc/,"https://twitter.com/LongHashVC, https://twitter.com/emmacui, https://twitter.com/brazenburrit0", 
The Spartan Group,Venture Capital,/,info@spartangroup.io,http://spartangroup.io/terms.html,http://spartangroup.io/terms.html,https://twitter.com/TheSpartanGroup,
Parafi Capital,Investment & Technology Fund,/,info@parafi.com,https://parafi.com/,https://parafi.com/,https://twitter.com/paraficapital,
Lemnis Cap,Investment Firm / VC ,/,info@lemniscap.vc,https://lemniscap.com/,https://lemniscap.com/,https://twitter.com/Lemniscap,
IOSG,Venture Capital,https://www.linkedin.com/company/iosgvc/?originalSubdomain=hk,Hello@iosg.vc,https://iosg.vc/kickstarterprogram/,https://iosg.vc/,https://twitter.com/IOSGVC,
,,,,,,,
,,,,,,,
,// in process of adding more - Rugsurfer ,,,,,,
